Chr	Start	End	Strand	Length
FBgn0016754	3R;3R;3R;3R;3R;3R;3R;3R;3R	23894174;23896209;23897253;23897407;23903128;23913796;23920007;23921518;23922896	23895497;23897191;23897346;23899793;23903461;23913919;23920846;23921780;23922973	-;-;-;-;-;-;-;-;-	6427
FBgn0013347	3R;3R	23890388;23890884	23890827;23891060	-;-	617
FBgn0025574	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	23860162;23861577;23861815;23862031;23862194;23862450;23862983;23865563;23889057;23889694	23861505;23861754;23861968;23862129;23862382;23862641;23863214;23865655;23889191;23890052	-;-;-;-;-;-;-;-;-;-	2975
FBgn0039139	3R;3R;3R	24032157;24032398;24032760	24032335;24032691;24034257	+;+;+	1971
FBgn0039141	3R;3R;3R;3R;3R;3R	24038215;24039595;24039911;24040306;24040568;24040879	24039262;24039765;24040096;24040472;24040820;24042982	+;+;+;+;+;+	3929
FBgn0043455	3R;3R	24047790;24048486	24048427;24049168	+;+	1321
FBgn0026576	3R;3R	24050783;24051681	24050980;24053592	+;+	2110
FBgn0039145	3R	24054391	24055092	+	702
FBgn0040283	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24058287;24058855;24059062;24059289;24060375;24061011;24061323;24061691;24061857;24062421;24062660	24058799;24059003;24059230;24060311;24060944;24061266;24061627;24061791;24062360;24062598;24062815	+;+;+;+;+;+;+;+;+;+;+	3924
FBgn0039149	3R	24109367	24110010	+	644
FBgn0039152	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24113286;24118540;24120303;24121046;24122877;24123085;24124537;24124780;24126928;24127408;24127640	24113688;24118907;24120815;24122326;24123028;24124461;24124712;24126767;24127347;24127583;24128193	+;+;+;+;+;+;+;+;+;+;+	7408
FBgn0026317	3R;3R;3R;3R;3R;3R;3R	24130307;24130496;24130820;24131138;24133506;24133790;24133977	24130404;24130759;24131076;24133448;24133663;24133919;24134654	+;+;+;+;+;+;+	3896
FBgn0039154	3R;3R;3R;3R	24137895;24139779;24140527;24140809	24138200;24139886;24140696;24140936	+;+;+;+	712
FBgn0039155	3R;3R;3R;3R;3R;3R;3R	24141395;24145193;24145930;24146109;24146366;24146801;24147196	24141660;24145870;24146048;24146302;24146739;24146867;24147490	+;+;+;+;+;+;+	1993
FBgn0039156	3R;3R;3R	24152347;24153090;24153824	24152603;24153767;24154896	+;+;+	2008
FBgn0039158	3R;3R;3R	24161727;24162452;24162740	24162391;24162683;24163215	+;+;+	1373
FBgn0026598	3R;3R;3R	24163966;24164873;24167284	24164809;24167086;24168264	+;+;+	4039
FBgn0039161	3R;3R;3R;3R;3R	24172628;24173054;24180293;24180587;24183862	24172732;24173112;24180452;24181420;24184144	+;+;+;+;+	1441
FBgn0029503	3R;3R;3R;3R	24186359;24186600;24187220;24187473	24186540;24187150;24187414;24187785	+;+;+;+	1241
FBgn0039165	3R;3R;3R;3R;3R	24193832;24194111;24195106;24195330;24196555	24194048;24195045;24195273;24196493;24196880	+;+;+;+;+	2810
FBgn0026257	3R;3R;3R	24221103;24222242;24222536	24221925;24222474;24223528	+;+;+	2049
FBgn0039170	3R	24227023	24228538	+	1516
FBgn0043884	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24230562;24231655;24235070;24235393;24235817;24236027;24236342;24236823;24237362;24239416;24239542;24239820;24241115;24241301;24241643;24242280;24242655;24247713;24247976	24230648;24232974;24235273;24235431;24235955;24236270;24236513;24237122;24239348;24239480;24239757;24241044;24241200;24241576;24242218;24242544;24247642;24247889;24250248	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14639
FBgn0039172	3R	24228342	24230035	-	1694
FBgn0039169	3R	24223445	24226934	-	3490
FBgn0011725	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24196893;24199275;24199883;24200542;24219600;24219965;24220215;24220532;24220828;24221115;24221793	24199213;24199587;24199951;24201486;24219775;24220151;24220343;24220563;24220884;24221435;24221965	-;-;-;-;-;-;-;-;-;-;-	4723
FBgn0039167	3R	24214631	24218718	-	4088
FBgn0039163	3R;3R	24187724;24188516	24188461;24188896	-;-	1119
FBgn0039160	3R;3R;3R;3R;3R	24167675;24168474;24168857;24169131;24169315	24168144;24168803;24169054;24169246;24169562	-;-;-;-;-	1362
FBgn0039159	3R;3R;3R	24162829;24163218;24163468	24163160;24163407;24163545	-;-;-	600
FBgn0015765	3R;3R;3R;3R	24150416;24151846;24152094;24152241	24151769;24151996;24152141;24152321	-;-;-;-	1634
FBgn0051133	3R	24147436	24148967	-	1532
FBgn0039153	3R;3R;3R;3R;3R;3R;3R;3R	24128049;24128499;24128686;24128892;24129372;24129752;24129924;24130122	24128439;24128622;24128822;24129316;24129687;24129865;24130068;24130255	-;-;-;-;-;-;-;-	1786
FBgn0039151	3R;3R	24114043;24116240	24116171;24116322	-;-	2212
FBgn0039150	3R;3R;3R	24109944;24110333;24110763	24110274;24110548;24112389	-;-;-	2174
FBgn0053100	3R;3R;3R;3R;3R;3R;3R	24063077;24063837;24064182;24064477;24101296;24106825;24108470	24063831;24064060;24064330;24068064;24102046;24107284;24108960	-;-;-;-;-;-;-	6418
FBgn0013343	3R	24101600	24105763	-	4164
FBgn0001230	3R	24055080	24057310	-	2231
FBgn0005649	3R;3R;3R;3R;3R;3R;3R;3R;3R	24043056;24044197;24044358;24045438;24046938;24047188;24047499;24047819;24048113	24044145;24044290;24045266;24046491;24047012;24047368;24047721;24048049;24048265	-;-;-;-;-;-;-;-;-	4010
FBgn0039140	3R;3R;3R;3R;3R	24034362;24035264;24035614;24036931;24038067	24035029;24035326;24036818;24038004;24038847	-;-;-;-;-	3791
FBgn0019952	3R	24276260	24278792	+	2533
FBgn0039178	3R;3R;3R;3R;3R;3R;3R	24283955;24286281;24286792;24287004;24287235;24287475;24287688	24284844;24286727;24286946;24287172;24287376;24287628;24288617	+;+;+;+;+;+;+	2887
FBgn0011785	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24319000;24319409;24319592;24320017;24320668;24320976;24321863;24322024;24322397;24324459;24324777;24325005;24325750;24326957;24327189	24319157;24319467;24319621;24320076;24320914;24321783;24321959;24322338;24324403;24324718;24324947;24325278;24326895;24327137;24328619	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7244
FBgn0039183	3R;3R;3R;3R;3R	24333433;24333925;24334433;24335568;24336294	24333872;24334369;24335511;24336236;24337248	+;+;+;+;+	3588
FBgn0011581	3R;3R;3R;3R	24341551;24342518;24342828;24343103	24341680;24342630;24343039;24343825	+;+;+;+	1178
FBgn0039187	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24349182;24349526;24349890;24350727;24353184;24353618;24354793;24354938;24355381;24355716	24349471;24349827;24350235;24352351;24353523;24354739;24354880;24355324;24355653;24356241	+;+;+;+;+;+;+;+;+;+	5299
FBgn0000036	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24393896;24403215;24404682;24404969;24407318;24412508;24414847;24421695;24451895;24456435	24401945;24403510;24404893;24405429;24407498;24412617;24414891;24421904;24452633;24457157	-;-;-;-;-;-;-;-;-;-	11027
FBgn0039189	3R;3R;3R	24358095;24359254;24359878	24359197;24359559;24360144	-;-;-	1676
FBgn0039188	3R;3R	24356070;24356541	24356485;24357938	-;-	1814
FBgn0039186	3R;3R;3R;3R;3R	24343895;24346817;24347081;24347405;24348147	24346760;24346986;24347299;24348080;24348791	-;-;-;-;-	4576
FBgn0039182	3R;3R;3R;3R;3R	24328455;24328925;24329146;24330800;24333141	24328857;24329090;24330737;24333084;24333316	-;-;-;-;-	4622
FBgn0028471	3R;3R;3R;3R;3R	24314660;24315260;24315592;24317896;24318215	24315198;24315529;24317841;24318121;24318419	-;-;-;-;-	3490
FBgn0039175	3R;3R;3R;3R;3R	24250460;24250733;24252145;24252366;24252496	24250675;24252078;24252302;24252421;24252679	-;-;-;-;-	1960
FBgn0000039	3R;3R;3R;3R;3R;3R;3R	24485428;24487131;24487423;24488452;24488781;24489599;24490818	24486200;24487285;24487603;24488611;24489366;24489800;24491147	+;+;+;+;+;+;+	2387
FBgn0003134	3R;3R;3R;3R;3R	24518270;24518844;24519596;24519940;24520343	24518707;24519192;24519881;24520087;24522331	+;+;+;+;+	3210
FBgn0039203	3R;3R;3R;3R	24524794;24526599;24526751;24527018	24525057;24526688;24526901;24527533	+;+;+;+	1021
FBgn0039204	3R;3R;3R;3R;3R	24528047;24528334;24528749;24528982;24529563	24528254;24528684;24528928;24529503;24529815	+;+;+;+;+	1514
FBgn0039213	3R;3R;3R;3R;3R;3R	24625671;24630291;24631783;24632157;24633433;24633558	24625812;24630750;24632091;24633370;24633499;24634714	+;+;+;+;+;+	3349
FBgn0000139	3R;3R;3R;3R;3R;3R;3R;3R;3R	24650125;24650405;24650650;24651180;24651417;24651861;24652310;24652782;24653098	24650344;24650589;24650994;24651251;24651630;24652241;24652590;24653039;24653376	+;+;+;+;+;+;+;+;+	2235
FBgn0051126	3R;3R	24659621;24660011	24659954;24660265	+;+	589
FBgn0020018	3R	24660197	24661851	-	1655
FBgn0051125	3R	24653371	24654820	-	1450
FBgn0039214	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24635270;24637298;24637704;24638741;24639155;24639420;24639659;24639824;24640327;24640699;24641031;24641277;24641462;24642173;24642413;24645745;24646693;24647679;24648508;24649644	24637224;24637635;24638673;24639093;24639345;24639595;24639764;24640223;24640632;24640969;24641218;24641400;24642114;24642359;24645685;24646631;24647602;24648390;24649545;24650043	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	13438
FBgn0046685	3R;3R;3R	24627066;24628716;24629135	24628662;24629072;24630075	-;-;-	2895
FBgn0039212	3R;3R	24623802;24624475	24624155;24625562	-;-	1442
FBgn0039210	3R	24583067	24585160	-	2094
FBgn0039209	3R;3R;3R;3R;3R;3R;3R	24557368;24560382;24560890;24571291;24576464;24577177;24582713	24560317;24560822;24562942;24572495;24576518;24577453;24582864	-;-;-;-;-;-;-	7133
FBgn0039205	3R;3R	24529773;24530258	24530196;24530558	-;-	725
FBgn0004118	3R;3R;3R;3R;3R;3R;3R;3R;3R	24509228;24510141;24510902;24511484;24513880;24514067;24514310;24514494;24514913	24509639;24510247;24511225;24513822;24514012;24514252;24514438;24514687;24515106	-;-;-;-;-;-;-;-;-	4018
FBgn0039218	3R;3R	24717511;24717796	24717712;24717998	+;+	405
FBgn0004885	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24719697;24720057;24727706;24742611;24743163;24744008;24744788;24745093;24745761;24746038;24746394;24746830;24747592;24747835;24748157	24719739;24720220;24728326;24742957;24743584;24744295;24745027;24745651;24745959;24746302;24746599;24747473;24747772;24748097;24749125	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5411
FBgn0003719	3R;3R;3R;3R;3R;3R;3R	24749731;24750056;24750263;24750662;24751534;24751849;24752474	24749993;24750117;24750607;24751482;24751795;24752417;24753510	+;+;+;+;+;+;+	3359
FBgn0040600	3R	24769351	24770933	+	1583
FBgn0039225	3R;3R;3R;3R;3R;3R;3R	24788054;24792361;24793379;24794324;24794596;24796123;24796858	24788263;24793253;24793549;24794444;24794642;24796795;24797955	+;+;+;+;+;+;+	3213
FBgn0039232	3R;3R;3R;3R;3R;3R;3R	24833952;24834313;24835609;24836681;24838051;24839313;24839612	24834209;24834381;24835694;24837217;24838197;24839489;24840488	+;+;+;+;+;+;+	2151
FBgn0013953	3R;3R;3R;3R;3R;3R	24841935;24847011;24848215;24848533;24849366;24849731	24842470;24847376;24848462;24849304;24849668;24850412	+;+;+;+;+;+	2907
FBgn0039233	3R;3R	24850627;24850822	24850770;24851385	+;+	708
FBgn0039234	3R;3R;3R;3R;3R;3R	24851601;24851838;24851986;24852738;24853603;24853876	24851712;24851933;24852675;24853539;24853814;24854869	+;+;+;+;+;+	2906
FBgn0039238	3R	24862931	24864216	+	1286
FBgn0013949	3R;3R	24865350;24866012	24865844;24867651	+;+	2135
FBgn0039241	3R;3R;3R;3R;3R;3R	24877045;24879044;24879177;24880313;24880806;24880994	24877134;24879119;24880249;24880746;24880932;24881478	+;+;+;+;+;+	2285
FBgn0043799	3R;3R	24877045;24877219	24877134;24878827	+;+	1699
FBgn0039244	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24894742;24895015;24895246;24895416;24895686;24895886;24896411;24896583;24896731;24896926;24897176;24897419	24894786;24895171;24895354;24895606;24895830;24896351;24896528;24896676;24896869;24897117;24897362;24897613	+;+;+;+;+;+;+;+;+;+;+;+	2038
FBgn0039249	3R;3R;3R;3R;3R;3R;3R;3R	24918106;24918498;24918817;24919924;24920732;24921602;24921898;24922085	24918264;24918755;24919583;24920633;24921540;24921838;24922029;24922385	+;+;+;+;+;+;+;+	3373
FBgn0039250	3R;3R;3R;3R	24922473;24922652;24924276;24924418	24922587;24924223;24924356;24925160	+;+;+;+	2511
FBgn0039251	3R	24925216	24927085	+	1870
FBgn0051121	3R;3R;3R;3R;3R;3R;3R;3R;3R	24881466;24881906;24882248;24882457;24882983;24884561;24885008;24891575;24894185	24881832;24882186;24882368;24882926;24884352;24884692;24885141;24891835;24894605	-;-;-;-;-;-;-;-;-	3557
FBgn0039240	3R;3R;3R;3R;3R;3R;3R;3R	24871202;24872219;24872654;24872938;24873359;24874103;24874714;24874993	24872153;24872411;24872876;24873249;24873962;24874659;24874933;24876654	-;-;-;-;-;-;-;-	4723
FBgn0015625	3R	24867934	24870816	-	2883
FBgn0039239	3R	24864191	24864732	-	542
FBgn0051105	3R;3R;3R;3R;3R;3R;3R;3R	24857585;24857857;24858201;24858483;24858801;24858988;24859206;24859515	24857797;24858141;24858429;24858750;24858934;24859177;24859450;24859801	-;-;-;-;-;-;-;-	1851
FBgn0051119	3R;3R	24854496;24856002	24855945;24856243	-;-	1692
FBgn0051357	3R	24828279	24829959	-	1681
FBgn0051118	3R;3R;3R;3R	24826665;24827158;24827332;24827836	24827099;24827271;24827624;24828409	-;-;-;-	1416
FBgn0045980	3R;3R;3R;3R;3R;3R;3R;3R;3R	24822401;24822598;24822884;24823127;24823356;24823921;24824149;24824496;24824698	24822545;24822830;24823069;24823295;24823865;24824094;24824432;24824634;24825648	-;-;-;-;-;-;-;-;-	2791
FBgn0027617	3R;3R	24814903;24815319	24815256;24817007	-;-	2043
FBgn0027539	3R;3R;3R;3R;3R;3R;3R;3R;3R	24805445;24805667;24806686;24806978;24808597;24808815;24809106;24809362;24813576	24805585;24806619;24806917;24807480;24808665;24809045;24809245;24809486;24814012	-;-;-;-;-;-;-;-;-	2831
FBgn0039227	3R;3R;3R;3R	24799967;24801060;24802571;24804221	24801001;24802512;24804162;24805259	-;-;-;-	5119
FBgn0039226	3R;3R;3R	24797460;24799127;24799364	24798581;24799307;24799668	-;-;-	1608
FBgn0039223	3R;3R;3R;3R;3R	24784552;24785787;24785973;24786992;24787295	24785587;24785914;24786902;24787048;24787421	-;-;-;-;-	2278
FBgn0015591	3R;3R;3R	24760530;24761390;24764853	24761328;24761830;24765071	-;-;-	1459
FBgn0039219	3R;3R;3R	24717937;24718321;24719128	24718262;24719058;24719364	-;-;-	1301
FBgn0039252	3R;3R	24932010;24932294	24932236;24934919	+;+	2853
FBgn0039254	3R;3R;3R;3R;3R;3R;3R	24945237;24945526;24945984;24946144;24946476;24946884;24947263	24945453;24945932;24946085;24946295;24946833;24947154;24947400	+;+;+;+;+;+;+	1645
FBgn0039255	3R;3R;3R;3R;3R	24947632;24948354;24948519;24948718;24949061	24948278;24948463;24948659;24948924;24949539	+;+;+;+;+	1584
FBgn0039257	3R;3R;3R;3R;3R;3R;3R;3R	24984384;24985591;25001393;25011882;25012822;25013086;25013404;25021257	24984457;24985983;25001499;25011920;25013019;25013340;25021174;25022867	+;+;+;+;+;+;+;+	10448
FBgn0039258	3R;3R;3R	25023256;25023528;25024217	25023466;25024149;25024482	+;+;+	1099
FBgn0015240	3R;3R;3R;3R;3R;3R	25025235;25026279;25026401;25028248;25028529;25028798	25026210;25026335;25027224;25028457;25028741;25029351	+;+;+;+;+;+	2834
FBgn0045866	3R;3R;3R;3R;3R	25039374;25039701;25039886;25040022;25040212	25039629;25039821;25039956;25040148;25040443	+;+;+;+;+	807
FBgn0039265	3R;3R;3R;3R;3R	25047706;25048442;25048665;25048879;25049272	25048349;25048603;25048790;25048908;25049455	+;+;+;+;+	1146
FBgn0039266	3R;3R	25049616;25052483	25051556;25053074	+;+	2533
FBgn0039270	3R;3R	25065791;25066002	25065941;25066718	+;+	868
FBgn0039271	3R;3R	25069927;25070203	25070050;25070914	+;+	836
FBgn0039272	3R;3R;3R;3R;3R	25071126;25071471;25071739;25072187;25072320	25071428;25071676;25072125;25072263;25072712	+;+;+;+;+	1366
FBgn0039274	3R;3R	25074877;25075618	25075123;25076382	+;+	1012
FBgn0046214	3R;3R	25123373;25124590	25124115;25125619	+;+	1773
FBgn0039282	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25131306;25131613;25132321;25132592;25133016;25133830;25134052;25134463;25134692;25134947;25135150;25135308;25135526	25131459;25132062;25132501;25132953;25133767;25133996;25134398;25134624;25134880;25135076;25135248;25135458;25136709	+;+;+;+;+;+;+;+;+;+;+;+;+	4328
FBgn0039283	3R	25138072	25139903	+	1832
FBgn0051510	3R;3R	25117218;25122561	25121146;25122920	-;-	4289
FBgn0039277	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25109226;25109528;25109980;25110098;25110410;25110743;25110890;25111109;25111464;25111928;25112356	25109469;25109912;25110035;25110354;25110685;25110826;25111057;25111401;25111860;25112286;25112516	-;-;-;-;-;-;-;-;-;-;-	2680
FBgn0039273	3R;3R;3R;3R	25072729;25073615;25074167;25074359	25073558;25073912;25074285;25074607	-;-;-;-	1496
FBgn0011336	3R;3R;3R;3R;3R	25066712;25067133;25067385;25067913;25068163	25067078;25067331;25067855;25068103;25069637	-;-;-;-;-	2703
FBgn0039269	3R;3R;3R	25064418;25064861;25065478	25064796;25065414;25065591	-;-;-	1047
FBgn0051111	3R;3R	25055076;25056035	25055884;25056177	-;-	952
FBgn0051109	3R;3R;3R;3R	25053369;25053933;25054042;25054356	25053868;25053974;25054179;25054653	-;-;-;-	978
FBgn0039261	3R;3R;3R;3R;3R;3R;3R;3R;3R	25033876;25034688;25035667;25036393;25036623;25038211;25038421;25038846;25038944	25034623;25035600;25036331;25036536;25036717;25038318;25038768;25038879;25039249	-;-;-;-;-;-;-;-;-	3361
FBgn0039260	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25029429;25029982;25030356;25031208;25031359;25031551;25031769;25032211;25032727;25033160	25029921;25030118;25031153;25031303;25031494;25031693;25032148;25032660;25033097;25033465	-;-;-;-;-;-;-;-;-;-	3310
FBgn0039259	3R;3R	25024473;25024800	25024743;25025017	-;-	489
FBgn0029157	3R;3R;3R;3R;3R;3R;3R;3R	24938710;24941867;24942203;24942461;24942819;24943276;24943590;24944418	24941781;24942136;24942397;24942526;24943210;24943521;24943895;24944956	-;-;-;-;-;-;-;-	5086
FBgn0020626	3R;3R	24934869;24936255	24936148;24938222	-;-	3248
FBgn0051108	3R;3R;3R;3R;3R	25112867;25114979;25115255;25116112;25122561	25114923;25115192;25116040;25116157;25122920	-;-;-;-;-	3463
FBgn0039286	3R;3R	25184383;25189886	25185429;25192806	+;+	3968
FBgn0039290	3R;3R;3R;3R;3R;3R;3R;3R	25199818;25209117;25209450;25210299;25210701;25210871;25211257;25212536	25200050;25209185;25209610;25210640;25210812;25211010;25212478;25214255	+;+;+;+;+;+;+;+	3999
FBgn0051103	3R;3R;3R;3R;3R;3R;3R;3R;3R	25219318;25219493;25219722;25219946;25220128;25220612;25220799;25221138;25221327	25219419;25219654;25219884;25220067;25220542;25220738;25221082;25221265;25221444	+;+;+;+;+;+;+;+;+	1621
FBgn0039293	3R;3R;3R;3R	25221589;25221918;25222335;25222868	25221859;25222280;25222812;25224118	+;+;+;+	2363
FBgn0039297	3R;3R;3R;3R	25237614;25237837;25238200;25238501	25237779;25238074;25238445;25238895	+;+;+;+	1045
FBgn0039298	3R;3R;3R;3R	25240180;25240366;25240674;25240868	25240250;25240606;25240813;25241668	+;+;+;+	1253
FBgn0039299	3R;3R;3R;3R	25242020;25242204;25242508;25242710	25242127;25242441;25242647;25243262	+;+;+;+	1039
FBgn0039301	3R;3R;3R;3R	25247658;25247871;25248173;25248639	25247777;25248106;25248581;25249100	+;+;+;+	1227
FBgn0039302	3R;3R;3R;3R;3R;3R	25249348;25250223;25253292;25256355;25257122;25258201	25249702;25253235;25256293;25257057;25258129;25258672	+;+;+;+;+;+	8553
FBgn0039303	3R;3R	25258898;25259494	25259432;25260759	+;+	1801
FBgn0039305	3R;3R	25262741;25262945	25262885;25263292	+;+	493
FBgn0039306	3R;3R;3R;3R	25265844;25266171;25266602;25266849	25266114;25266549;25266793;25267757	+;+;+;+	1751
FBgn0039310	3R;3R	25273837;25274970	25274913;25275237	+;+	1345
FBgn0051300	3R;3R;3R	25283620;25284307;25284906	25284245;25284835;25285224	+;+;+	1474
FBgn0051104	3R;3R;3R	25285473;25286137;25286731	25286081;25286665;25286974	+;+;+	1382
FBgn0039315	3R;3R;3R	25287474;25288098;25288692	25288039;25288626;25288930	+;+;+	1334
FBgn0039319	3R;3R;3R	25300891;25301520;25302106	25301453;25302045;25302317	+;+;+	1301
FBgn0051370	3R;3R;3R	25302464;25303143;25303709	25303079;25303656;25303986	+;+;+	1408
FBgn0051436	3R;3R;3R	25304137;25304821;25305408	25304768;25305346;25305651	+;+;+	1402
FBgn0028647	3R;3R;3R;3R;3R	25335257;25335603;25335971;25336103;25337674	25335528;25335916;25336051;25337621;25340088	+;+;+;+;+	4601
FBgn0027376	3R;3R;3R;3R;3R;3R	25340252;25340603;25341100;25341236;25341649;25344545	25340545;25341048;25341171;25341584;25344481;25344838	+;+;+;+;+;+	4288
FBgn0039335	3R;3R;3R;3R	25473490;25473628;25473786;25474169	25473572;25473728;25474104;25475756	+;+;+;+	2091
FBgn0039337	3R	25477003	25477745	+	743
FBgn0039338	3R;3R;3R;3R	25477868;25479406;25480386;25482704	25479349;25480287;25482578;25482834	-;-;-;-	4688
FBgn0039336	3R	25475636	25476915	-	1280
FBgn0039329	3R;3R;3R;3R;3R;3R	25331363;25332374;25333124;25334147;25334448;25335028	25332308;25332922;25333973;25334392;25334950;25335243	-;-;-;-;-;-	3310
FBgn0039328	3R;3R;3R;3R;3R	25329530;25329950;25330198;25330423;25330972	25329883;25330141;25330372;25330919;25331203	-;-;-;-;-	1450
FBgn0045761	3R;3R;3R;3R;3R	25323156;25323562;25323997;25328923;25329061	25323501;25323928;25324410;25329002;25329316	-;-;-;-;-	1463
FBgn0039326	3R;3R;3R;3R	25321053;25321523;25321958;25322504	25321464;25321889;25322451;25322757	-;-;-;-	1527
FBgn0039325	3R;3R;3R;3R	25318550;25318875;25319305;25319849	25318811;25319241;25319789;25320101	-;-;-;-	1367
FBgn0039324	3R;3R;3R;3R	25316461;25316865;25317293;25317867	25316805;25317231;25317777;25318111	-;-;-;-	1442
FBgn0039323	3R;3R;3R;3R	25314494;25314928;25315368;25315915	25314862;25315300;25315858;25316116	-;-;-;-	1435
FBgn0039321	3R;3R;3R;3R	25306407;25306762;25307689;25308181	25306701;25307628;25307909;25308391	-;-;-;-	1594
FBgn0051288	3R;3R;3R;3R	25297960;25298268;25298701;25299296	25298201;25298637;25299203;25299557	-;-;-;-	1377
FBgn0051102	3R;3R;3R;3R	25293458;25293908;25294336;25295097	25293851;25294271;25294835;25295594	-;-;-;-	1756
FBgn0051098	3R;3R;3R	25291370;25291748;25292028	25291689;25291964;25292977	-;-;-	1487
FBgn0039312	3R;3R	25278427;25278773	25278710;25279846	-;-	1358
FBgn0039311	3R;3R	25275790;25276126	25276060;25277212	-;-	1358
FBgn0027090	3R	25263267	25265721	-	2455
FBgn0039304	3R;3R;3R	25260963;25261545;25262184	25261480;25262113;25262498	-;-;-	1402
FBgn0039300	3R;3R;3R	25245955;25246448;25247433	25246381;25246667;25247514	-;-;-	729
FBgn0039296	3R;3R	25233636;25235262	25235198;25235529	-;-	1831
FBgn0039291	3R;3R	25214325;25214995	25214932;25215188	-;-	802
FBgn0022800	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25197571;25198269;25198474;25198675;25198839;25201560;25202296;25203702;25204583;25206913;25208120	25198203;25198410;25198613;25198780;25198978;25201648;25202563;25204517;25204842;25207093;25208283	-;-;-;-;-;-;-;-;-;-;-	2939
FBgn0039341	3R	25491460	25493262	+	1803
FBgn0011666	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25516118;25518323;25519261;25564080;25574884;25576278;25584219;25594475;25599507;25600270	25516349;25518472;25519729;25564127;25574922;25576297;25584774;25595602;25600210;25608423	+;+;+;+;+;+;+;+;+;+	11500
FBgn0039346	3R	25613666	25614451	+	786
FBgn0039347	3R	25618414	25621838	+	3425
FBgn0039350	3R;3R;3R;3R;3R;3R;3R;3R	25637843;25639793;25646682;25647246;25648186;25648886;25649185;25649564	25638529;25639953;25646743;25647653;25648565;25649112;25649497;25651874	+;+;+;+;+;+;+;+	4549
FBgn0027508	3R;3R;3R;3R;3R;3R;3R	25653091;25654670;25654895;25655252;25655470;25657415;25660592	25654609;25654826;25655187;25655409;25657350;25658197;25661286	-;-;-;-;-;-;-	5486
FBgn0040212	3R;3R;3R;3R;3R	25485618;25486995;25488524;25490202;25490597	25486936;25488271;25489103;25490466;25490936	-;-;-;-;-	3781
FBgn0039354	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25665809;25666813;25669193;25669537;25669874;25670743;25671803;25675487;25675678;25676170;25676504	25665989;25667242;25669474;25669717;25670158;25670814;25671874;25675558;25676121;25676444;25677214	+;+;+;+;+;+;+;+;+;+;+	3005
FBgn0039356	3R;3R;3R	25678683;25678973;25679214	25678899;25679158;25679529	+;+;+	719
FBgn0039358	3R;3R;3R;3R;3R;3R;3R	25680845;25681121;25681266;25682105;25682356;25683058;25683473	25681023;25681198;25682045;25682291;25682873;25683383;25683780	+;+;+;+;+;+;+	2376
FBgn0039379	3R;3R;3R;3R	25851632;25851920;25852428;25852817	25851804;25852320;25852574;25853989	+;+;+;+	1894
FBgn0039380	3R;3R;3R;3R;3R;3R	25856154;25867100;25868144;25868453;25868593;25869538	25856973;25867459;25868213;25868523;25868787;25872670	+;+;+;+;+;+	4649
FBgn0039381	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25881984;25882574;25884102;25885119;25885382;25885880;25886307;25886566;25887111;25887298	25882275;25882622;25884255;25885319;25885829;25886020;25886498;25887019;25887231;25888230	+;+;+;+;+;+;+;+;+;+	2985
FBgn0027865	3R;3R;3R;3R;3R	25872900;25875659;25875945;25876532;25881016	25875239;25875874;25876124;25876726;25881427	-;-;-;-;-	3343
FBgn0066101	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	25741348;25742154;25742392;25744366;25744684;25744980;25747007;25748103;25749027;25749270;25752061;25752801;25754345;25758792;25760203;25761242	25742012;25742315;25742525;25744542;25744882;25746392;25747233;25748225;25749143;25749389;25752191;25752995;25754485;25759285;25760678;25763105	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6638
