RAWDATA	FLYBASE	SYMBOL
FBgn0038761	FBgn0038761	CG17190
FBgn0038755	FBgn0038755	Hs6st
FBgn0021776	FBgn0021776	mira
FBgn0038753	FBgn0038753	CG4459
FBgn0038752	FBgn0038752	CG4462
FBgn0038750	FBgn0038750	CG4465
FBgn0038749	FBgn0038749	Xport-A
FBgn0038746	FBgn0038746	Surf6
FBgn0038745	FBgn0038745	ClpX
FBgn0002940	FBgn0002940	ninaE
FBgn0038741	FBgn0038741	CG17186
FBgn0038740	FBgn0038740	CG4562
FBgn0038738	FBgn0038738	CG4572
FBgn0038773	FBgn0038773	CG10887
FBgn0045471	FBgn0045471	Gr92a
FBgn0038774	FBgn0038774	CG5023
FBgn0038775	FBgn0038775	CG17199
FBgn0051206	FBgn0051206	CG31206
FBgn0003249	FBgn0003249	Rh3
FBgn0038788	FBgn0038788	Sirt2
FBgn0038789	FBgn0038789	Ir92a
FBgn0038790	FBgn0038790	MtnC
FBgn0038796	FBgn0038796	eIF3g2
FBgn0038798	FBgn0038798	Or92a
FBgn0038799	FBgn0038799	MFS9
FBgn0002869	FBgn0002869	MtnB
FBgn0038797	FBgn0038797	Dic2
FBgn0038795	FBgn0038795	CG4335
FBgn0038787	FBgn0038787	CG4360
FBgn0038784	FBgn0038784	CG4362
FBgn0038783	FBgn0038783	CG4367
FBgn0053192	FBgn0053192	MtnD
FBgn0043457	FBgn0043457	CG5180
FBgn0038803	FBgn0038803	CG5191
FBgn0038806	FBgn0038806	CG5412
FBgn0038808	FBgn0038808	Srp14
FBgn0038810	FBgn0038810	Srp72
FBgn0023097	FBgn0023097	bon
FBgn0038815	FBgn0038815	CG5466
FBgn0001169	FBgn0001169	H
FBgn0038816	FBgn0038816	Lrrk
FBgn0038819	FBgn0038819	Cpr92F
FBgn0051205	FBgn0051205	CG31205
FBgn0004107	FBgn0004107	Cdk2
FBgn0051200	FBgn0051200	CG31200
FBgn0051199	FBgn0051199	CG31199
FBgn0038821	FBgn0038821	CG17267
FBgn0024944	FBgn0024944	Oamb
FBgn0038820	FBgn0038820	CG4000
FBgn0038818	FBgn0038818	Nep4
FBgn0028422	FBgn0028422	GluRIID
FBgn0051201	FBgn0051201	GluRIIE
FBgn0015279	FBgn0015279	Pi3K92E
FBgn0038814	FBgn0038814	CG15923
FBgn0051506	FBgn0051506	tRNA:Leu-TAA-1-1
FBgn0038811	FBgn0038811	Pus1
FBgn0014029	FBgn0014029	2-Sep
FBgn0038809	FBgn0038809	CG16953
FBgn0023212	FBgn0023212	EloB
FBgn0038805	FBgn0038805	TFAM
FBgn0038804	FBgn0038804	CG10877
FBgn0040575	FBgn0040575	CG15922
FBgn0038826	FBgn0038826	Syp
FBgn0019936	FBgn0019936	RpS20
FBgn0051223	FBgn0051223	CG31223
FBgn0053094	FBgn0053094	Synd
FBgn0038832	FBgn0038832	CG15695
FBgn0038833	FBgn0038833	CG15696
FBgn0038834	FBgn0038834	RpS30
FBgn0028396	FBgn0028396	TotA
FBgn0044812	FBgn0044812	TotC
FBgn0038838	FBgn0038838	TotB
FBgn0044809	FBgn0044809	TotZ
FBgn0051480	FBgn0051480	tRNA:Thr-CGT-1-1
FBgn0051334	FBgn0051334	tRNA:Thr-CGT-1-2
FBgn0051333	FBgn0051333	tRNA:Thr-CGT-1-3
FBgn0038840	FBgn0038840	Grik
FBgn0038842	FBgn0038842	hdly
FBgn0051191	FBgn0051191	CG31191
FBgn0044810	FBgn0044810	TotX
FBgn0038839	FBgn0038839	Ktl
FBgn0038837	FBgn0038837	KaiR1D
FBgn0027493	FBgn0027493	AdSS
FBgn0038830	FBgn0038830	CG17272
FBgn0038829	FBgn0038829	CG17271
FBgn0038828	FBgn0038828	CG17270
FBgn0038827	FBgn0038827	Fancd2
FBgn0046689	FBgn0046689	Takl1
FBgn0051195	FBgn0051195	CG31195
FBgn0013995	FBgn0013995	Calx
FBgn0038846	FBgn0038846	CG5697
FBgn0026056	FBgn0026056	Rlip
FBgn0038847	FBgn0038847	CG12278
FBgn0038851	FBgn0038851	dmrt93B
FBgn0038855	FBgn0038855	CG5745
FBgn0028468	FBgn0028468	rtet
FBgn0015790	FBgn0015790	Rab11
FBgn0010770	FBgn0010770	ppan
FBgn0038858	FBgn0038858	CG5793
FBgn0038860	FBgn0038860	Ice2
FBgn0038862	FBgn0038862	Usp8
FBgn0038866	FBgn0038866	CG5810
FBgn0038865	FBgn0038865	cDIP
FBgn0038861	FBgn0038861	Trm7-34
FBgn0038859	FBgn0038859	Obp93a
FBgn0038857	FBgn0038857	Bdbt
FBgn0038854	FBgn0038854	CG7044
FBgn0038853	FBgn0038853	RhoGAP93B
FBgn0038852	FBgn0038852	HHEX
FBgn0003257	FBgn0003257	r-l
FBgn0025865	FBgn0025865	Cortactin
FBgn0038850	FBgn0038850	CG17279
FBgn0038849	FBgn0038849	CG7079
FBgn0051207	FBgn0051207	CG31207
FBgn0051189	FBgn0051189	CG31189
FBgn0013812	FBgn0013812	Dhc93AB
FBgn0046763	FBgn0046763	CG17278
FBgn0038845	FBgn0038845	Alp5
FBgn0038868	FBgn0038868	CG5862
FBgn0038870	FBgn0038870	Oga
FBgn0038873	FBgn0038873	CG5892
FBgn0038874	FBgn0038874	ETHR
FBgn0038876	FBgn0038876	Idi
FBgn0038879	FBgn0038879	CG17298
FBgn0001234	FBgn0001234	lncRNA:Hsromega
FBgn0002781	FBgn0002781	mod(mdg4)
FBgn0004110	FBgn0004110	tin
FBgn0004862	FBgn0004862	bap
FBgn0038887	FBgn0038887	CG7907
FBgn0011278	FBgn0011278	lbe
FBgn0008651	FBgn0008651	lbl
FBgn0038881	FBgn0038881	CG16791
FBgn0038878	FBgn0038878	CG3301
FBgn0038877	FBgn0038877	CG3308
FBgn0043012	FBgn0043012	AP-2sigma
FBgn0016700	FBgn0285937	Rab1
FBgn0000527	FBgn0000527	e
FBgn0038871	FBgn0038871	CG3337
FBgn0038869	FBgn0038869	Smyd5
FBgn0038889	FBgn0038889	Fancm
FBgn0004863	FBgn0004863	C15
FBgn0038890	FBgn0038890	CG7956
FBgn0038894	FBgn0038894	CG15497
FBgn0051176	FBgn0051176	CG31176
FBgn0038893	FBgn0038893	Archease
FBgn0011766	FBgn0011766	E2f1
FBgn0038892	FBgn0038892	CG15498
FBgn0002941	FBgn0002941	slou
FBgn0038897	FBgn0038897	CG5849
FBgn0051343	FBgn0051343	CG31343
FBgn0051233	FBgn0051233	CG31233
FBgn0051198	FBgn0051198	CG31198
FBgn0038901	FBgn0038901	Burs
FBgn0038902	FBgn0038902	CG6800
FBgn0041229	FBgn0041229	Gr93a
FBgn0051431	FBgn0051431	CG31431
FBgn0064912	FBgn0064912	CG31178
FBgn0038912	FBgn0038912	CG6656
FBgn0053092	FBgn0053092	P5CDh2
FBgn0051465	FBgn0051465	CG31465
FBgn0038917	FBgn0038917	CG6678
FBgn0038918	FBgn0038918	Qsox3
FBgn0038919	FBgn0038919	Qsox2
FBgn0038916	FBgn0038916	dnd
FBgn0038915	FBgn0038915	CG17819
FBgn0038914	FBgn0038914	fit
FBgn0051174	FBgn0051174	CG31174
FBgn0038909	FBgn0038909	CG6569
FBgn0015229	FBgn0015229	glec
FBgn0045468	FBgn0045468	Gr93d
FBgn0045469	FBgn0045469	Gr93c
FBgn0045470	FBgn0045470	Gr93b
FBgn0013759	FBgn0013759	CASK
FBgn0003867	FBgn0003867	tsl
FBgn0038903	FBgn0038903	RpI12
FBgn0027575	FBgn0027575	GABA-B-R2
FBgn0038921	FBgn0038921	Theg
FBgn0038923	FBgn0038923	mRpL35
FBgn0019957	FBgn0019957	ND-42
FBgn0038928	FBgn0038928	Fadd
FBgn0038929	FBgn0038929	CG13408
FBgn0040582	FBgn0040582	BomBc3
FBgn0038931	FBgn0038931	CG13407
FBgn0038930	FBgn0038930	BomT3
FBgn0038927	FBgn0038927	CG6015
FBgn0038926	FBgn0038926	CG13409
FBgn0038925	FBgn0038925	Cchl
FBgn0038924	FBgn0038924	CG6028
FBgn0019960	FBgn0019960	Mitofilin
FBgn0038922	FBgn0038922	Idh3b
FBgn0051164	FBgn0051164	Ir94a
FBgn0051163	FBgn0051163	SKIP
FBgn0038934	FBgn0038934	Gld2
FBgn0038938	FBgn0038938	CG7084
FBgn0038941	FBgn0038941	CG7080
FBgn0038942	FBgn0038942	CG13862
FBgn0038946	FBgn0038946	rdhB
FBgn0038947	FBgn0038947	Sar1
FBgn0260467	FBgn0260467	CG7071
FBgn0038952	FBgn0038952	CG7069
FBgn0038953	FBgn0038953	CG18596
FBgn0038957	FBgn0038957	CG7059
FBgn0051165	FBgn0051165	tRNA:Ser-GCT-2-3
FBgn0051166	FBgn0051166	tRNA:Ser-GCT-2-5
FBgn0038959	FBgn0038959	CG13856
FBgn0038960	FBgn0038960	CG13855
FBgn0038965	FBgn0038965	mats
FBgn0038964	FBgn0038964	Nop56
FBgn0038961	FBgn0038961	CG13850
FBgn0051167	FBgn0051167	tRNA:Ser-GCT-1-1
FBgn0051162	FBgn0051162	tRNA:Ser-GCT-2-4
FBgn0038958	FBgn0038958	CG13857
FBgn0038956	FBgn0038956	CAH8
FBgn0038951	FBgn0038951	CG5380
FBgn0038948	FBgn0038948	PSR
FBgn0038945	FBgn0038945	CG5386
FBgn0038944	FBgn0038944	CG5388
FBgn0038943	FBgn0038943	CG5391
FBgn0051423	FBgn0051423	Ir94c
FBgn0051424	FBgn0051424	Ir94b
FBgn0038972	FBgn0038972	CG7054
FBgn0038973	FBgn0038973	Pebp1
FBgn0038975	FBgn0038975	Nrx-1
FBgn0038976	FBgn0038976	Pfdn5
FBgn0038978	FBgn0038978	tHMG1
FBgn0038979	FBgn0038979	tHMG2
FBgn0053110	FBgn0053110	CG33110
FBgn0028837	FBgn0028837	CSN6
FBgn0038989	FBgn0038989	CG6937
FBgn0051158	FBgn0051158	Efa6
FBgn0038993	FBgn0038993	CG13843
FBgn0051159	FBgn0051159	mRRF2
FBgn0051161	FBgn0051161	CG31161
FBgn0020278	FBgn0020278	loco
FBgn0051156	FBgn0051156	CG31156
FBgn0014949	FBgn0014949	btn
FBgn0053107	FBgn0053107	CG33107
FBgn0024558	FBgn0024558	Dph5
FBgn0038986	FBgn0038986	sit
FBgn0038984	FBgn0038984	AdipoR
FBgn0038983	FBgn0038983	CG5326
FBgn0053099	FBgn0053099	CG33099
FBgn0038981	FBgn0038981	CG5346
FBgn0003676	FBgn0003676	CCT1
FBgn0038977	FBgn0038977	CG5376
FBgn0038974	FBgn0038974	CG5377
FBgn0028688	FBgn0028688	Rpn7
FBgn0038968	FBgn0038968	CG12499
FBgn0038967	FBgn0038967	CG13847
FBgn0038966	FBgn0038966	pinta
FBgn0039002	FBgn0039002	CG17625
FBgn0039004	FBgn0039004	Nup133
FBgn0039006	FBgn0039006	Cyp6d4
FBgn0039008	FBgn0039008	CG6972
FBgn0039017	FBgn0039017	CG6985
FBgn0039019	FBgn0039019	HP1c
FBgn0039025	FBgn0039025	Usp12-46
FBgn0039026	FBgn0039026	CG7029
FBgn0039027	FBgn0039027	CG7031
FBgn0039029	FBgn0039029	CG4704
FBgn0039028	FBgn0039028	CG13840
FBgn0040588	FBgn0040588	CG13841
FBgn0039024	FBgn0039024	Nepl15
FBgn0039023	FBgn0039023	Nepl14
FBgn0039022	FBgn0039022	Nepl13
FBgn0051139	FBgn0051139	CG31139
FBgn0039016	FBgn0039016	Dcr-1
FBgn0039015	FBgn0039015	Takl2
FBgn0039013	FBgn0039013	CG4813
FBgn0024958	FBgn0024958	Irp-1A
FBgn0051151	FBgn0051151	wge
FBgn0039010	FBgn0039010	CG4907
FBgn0039009	FBgn0039009	CG13842
FBgn0039007	FBgn0039007	CCAP
FBgn0039003	FBgn0039003	wfs1
FBgn0046114	FBgn0046114	Gclm
FBgn0017590	FBgn0017590	klg
FBgn0039030	FBgn0039030	CG6660
FBgn0051281	FBgn0051281	Tpl94D
FBgn0039031	FBgn0039031	Gbp3
FBgn0039033	FBgn0039033	Or94a
FBgn0039034	FBgn0039034	Or94b
FBgn0039038	FBgn0039038	CG6688
FBgn0039041	FBgn0039041	CG13838
FBgn0039042	FBgn0039042	CG13837
FBgn0041225	FBgn0041225	Gr94a
FBgn0027526	FBgn0027526	Ublcp1
FBgn0039049	FBgn0039049	CG6726
FBgn0039050	FBgn0039050	CG17110
FBgn0039051	FBgn0039051	CG17109
FBgn0039052	FBgn0039052	CG6733
FBgn0039053	FBgn0039053	CG6738
FBgn0039054	FBgn0039054	Cow
FBgn0039048	FBgn0039048	CG17111
FBgn0053193	FBgn0053193	sav
FBgn0039045	FBgn0039045	CG17119
FBgn0039044	FBgn0039044	p53
FBgn0039043	FBgn0039043	CG17121
FBgn0039040	FBgn0039040	CG13833
FBgn0039039	FBgn0039039	lmd
FBgn0039056	FBgn0039056	CenB1A
FBgn0039066	FBgn0039066	EloA
FBgn0039068	FBgn0039068	CG13827
FBgn0025781	FBgn0025781	Cdc16
FBgn0039069	FBgn0039069	CG6763
FBgn0039071	FBgn0039071	bb8
FBgn0039070	FBgn0039070	wam
FBgn0039067	FBgn0039067	wda
FBgn0039065	FBgn0039065	Rad60
FBgn0039064	FBgn0039064	CG4467
FBgn0011596	FBgn0011596	fzo
FBgn0039059	FBgn0039059	CG13829
FBgn0039058	FBgn0039058	VhaAC39-2
FBgn0004395	FBgn0004395	unk
FBgn0051457	FBgn0051457	CG31457
FBgn0051365	FBgn0051365	CG31365
FBgn0039055	FBgn0039055	Rassf
FBgn0024509	FBgn0024509	Sec13
FBgn0002622	FBgn0002622	RpS3
FBgn0051225	FBgn0051225	Ir94f
FBgn0039079	FBgn0039079	Ir94g
FBgn0039080	FBgn0039080	Ir94h
FBgn0039088	FBgn0039088	CG10164
FBgn0039087	FBgn0039087	Ugt303B2
FBgn0039086	FBgn0039086	Ugt303B1
FBgn0039085	FBgn0039085	Ugt303B3
FBgn0039084	FBgn0039084	CG10175
FBgn0039083	FBgn0039083	CG10177
FBgn0039081	FBgn0039081	Irk2
FBgn0039078	FBgn0039078	CG4374
FBgn0039077	FBgn0039077	CG17380
FBgn0051515	FBgn0051515	CG31515
FBgn0039075	FBgn0039075	CG4393
FBgn0039073	FBgn0039073	CG4408
FBgn0016119	FBgn0016119	ATPsynCF6
FBgn0039089	FBgn0039089	beat-IV
FBgn0039098	FBgn0039098	GILT3
FBgn0039099	FBgn0039099	GILT2
FBgn0039101	FBgn0039101	CG16710
FBgn0042106	FBgn0042106	CG18754
FBgn0039102	FBgn0039102	SPE
FBgn0051148	FBgn0051148	Gba1a
FBgn0051413	FBgn0051413	Qsox4
FBgn0051414	FBgn0051414	Gba1b
FBgn0039106	FBgn0039106	CG10301
FBgn0039107	FBgn0039107	CG10300
FBgn0039109	FBgn0039109	CG10365
FBgn0028684	FBgn0028684	Rpt5
FBgn0039111	FBgn0039111	PTPMT1
FBgn0039112	FBgn0039112	SdhD
FBgn0028475	FBgn0028475	Hrd3
FBgn0039110	FBgn0039110	RanBP3
FBgn0028691	FBgn0028691	Rpn9
FBgn0039108	FBgn0039108	CG10232
FBgn0002922	FBgn0002922	nau
FBgn0047351	FBgn0047351	CG31468
FBgn0043005	FBgn0043005	prt
FBgn0039104	FBgn0039104	CG10252
FBgn0027512	FBgn0027512	CG10254
FBgn0051145	FBgn0051145	CG31145
FBgn0039094	FBgn0039094	CG10184
FBgn0051143	FBgn0051143	tRNA:Leu-CAA-2-3
FBgn0039093	FBgn0039093	CG10183
FBgn0039092	FBgn0039092	CG16723
FBgn0053337	FBgn0053337	CG33337
FBgn0039091	FBgn0039091	CG10182
FBgn0004187	FBgn0004187	snRNA:U1:95Cc
FBgn0004186	FBgn0004186	snRNA:U1:95Cb
FBgn0051141	FBgn0051141	CG31141
FBgn0039125	FBgn0039125	Ndc1
FBgn0047114	FBgn0047114	CG31142
FBgn0039128	FBgn0039128	CG13599
FBgn0039130	FBgn0039130	CG5854
FBgn0039132	FBgn0039132	AP-1sigma
FBgn0051140	FBgn0051140	CG31140
FBgn0051451	FBgn0051451	lncRNA:CR31451
FBgn0039136	FBgn0039136	CG5902
FBgn0015795	FBgn0015795	Rab7
FBgn0053108	FBgn0053108	CG33108
FBgn0051184	FBgn0051184	LSm3
FBgn0020647	FBgn0020647	KrT95D
FBgn0039137	FBgn0039137	CG13604
FBgn0039135	FBgn0039135	CG13603
FBgn0005674	FBgn0005674	GluProRS
FBgn0039131	FBgn0039131	CG12268
FBgn0039129	FBgn0039129	RpS19b
FBgn0015282	FBgn0015282	Rpt2
FBgn0039126	FBgn0039126	CG13601
FBgn0016754	FBgn0016754	sba
FBgn0039124	FBgn0039124	tbrd-1
FBgn0013347	FBgn0013347	TfIIA-S
FBgn0025574	FBgn0025574	Pli
FBgn0004185	FBgn0004185	snRNA:U1:95Ca
FBgn0039139	FBgn0039139	Mettl3
FBgn0039141	FBgn0039141	spas
FBgn0043455	FBgn0043455	CG5986
FBgn0026576	FBgn0026576	Pisd
FBgn0039145	FBgn0039145	CG6000
FBgn0040283	FBgn0040283	SMC1
FBgn0039147	FBgn0039147	CG10694
FBgn0039149	FBgn0039149	CG18428
FBgn0039152	FBgn0039152	Root
FBgn0026317	FBgn0026317	Tsc1
FBgn0039154	FBgn0039154	Npc2f
FBgn0039155	FBgn0039155	Kal1
FBgn0039156	FBgn0039156	CG6178
FBgn0039158	FBgn0039158	TBC1d7
FBgn0026598	FBgn0026598	Apc2
FBgn0039161	FBgn0039161	CG13606
FBgn0029503	FBgn0029503	mora
FBgn0039165	FBgn0039165	CG6204
FBgn0026257	FBgn0026257	cav
FBgn0039170	FBgn0039170	CG13609
FBgn0002863	FBgn0002863	Acp95EF
FBgn0043884	FBgn0043884	mask
FBgn0039172	FBgn0039172	Spase22-23
FBgn0039169	FBgn0039169	Spps
FBgn0011725	FBgn0011725	twin
FBgn0039167	FBgn0039167	CG17786
FBgn0039163	FBgn0039163	CG5515
FBgn0039160	FBgn0039160	CG5510
FBgn0039159	FBgn0039159	mRpS24
FBgn0015765	FBgn0015765	p38a
FBgn0051133	FBgn0051133	Slimp
FBgn0039153	FBgn0039153	GatB
FBgn0039151	FBgn0039151	CG13607
FBgn0039150	FBgn0039150	CG13605
FBgn0053100	FBgn0053100	eIF4EHP
FBgn0013343	FBgn0013343	Syx1A
FBgn0001230	FBgn0001230	Hsp68
FBgn0005649	FBgn0005649	Rox8
FBgn0039140	FBgn0039140	Miro
FBgn0051130	FBgn0051130	tRNA:Leu-TAA-4-1
FBgn0019952	FBgn0019952	Orct
FBgn0039177	FBgn0286199	shps
FBgn0039178	FBgn0039178	CG6356
FBgn0011785	FBgn0011785	BRWD3
FBgn0039183	FBgn0039183	Dis3
FBgn0039184	FBgn0039184	CG6432
FBgn0011581	FBgn0011581	Ms
FBgn0039187	FBgn0039187	CG6454
FBgn0053339	FBgn0053339	CG33339
FBgn0053340	FBgn0053340	CG33340
FBgn0039193	FBgn0039193	CG13613
FBgn0053341	FBgn0053341	CG33341
FBgn0039194	FBgn0039194	CG13614
FBgn0039199	FBgn0039199	CG13615
FBgn0039200	FBgn0039200	CG13616
FBgn0000036	FBgn0000036	nAChRalpha1
FBgn0039198	FBgn0039198	CG5768
FBgn0039197	FBgn0039197	CG17780
FBgn0039196	FBgn0039196	CG17781
FBgn0039195	FBgn0039195	CG17782
FBgn0039192	FBgn0039192	CG17784
FBgn0039190	FBgn0039190	CG5762
FBgn0039189	FBgn0039189	CG18528
FBgn0039188	FBgn0039188	Golgin84
FBgn0039186	FBgn0039186	CG5746
FBgn0039182	FBgn0039182	CG5728
FBgn0028471	FBgn0028471	Nab2
FBgn0039180	FBgn0039180	CG5715
FBgn0039175	FBgn0039175	beta-PheRS
FBgn0051128	FBgn0051128	CG31128
FBgn0000039	FBgn0000039	nAChRalpha2
FBgn0039201	FBgn0039201	DZIP1
FBgn0003134	FBgn0003134	Pp1alpha-96A
FBgn0039203	FBgn0039203	CG13618
FBgn0039204	FBgn0039204	CG6607
FBgn0011845	FBgn0011845	tRNA:Asp-GTC-1-11
FBgn0004188	FBgn0004188	snRNA:U6:96Aa
FBgn0004189	FBgn0004189	snRNA:U6:96Ab
FBgn0004190	FBgn0004190	snRNA:U6:96Ac
FBgn0039213	FBgn0039213	atl
FBgn0000139	FBgn0000139	ash2
FBgn0051126	FBgn0051126	CG31126
FBgn0020018	FBgn0020018	Ppox
FBgn0051125	FBgn0051125	CG31125
FBgn0039214	FBgn0039214	puf
FBgn0046685	FBgn0046685	Wsck
FBgn0039212	FBgn0039212	Syx18
FBgn0039210	FBgn0039210	CG13625
FBgn0039209	FBgn0039209	REPTOR
FBgn0039205	FBgn0039205	CG13623
FBgn0039202	FBgn0039202	CG13622
FBgn0004118	FBgn0004118	nAChRbeta2
FBgn0039217	FBgn0039217	CG13627
FBgn0039218	FBgn0039218	Rpb10
FBgn0004885	FBgn0004885	tok
FBgn0003719	FBgn0003719	tld
FBgn0000140	FBgn0000140	asp
FBgn0040600	FBgn0040600	CG13631
FBgn0039225	FBgn0039225	Ets96B
FBgn0039228	FBgn0039228	CG6980
FBgn0039232	FBgn0039232	sosie
FBgn0013953	FBgn0013953	Esp
FBgn0039233	FBgn0039233	CG7006
FBgn0039234	FBgn0039234	Nct
FBgn0039238	FBgn0039238	CG7016
FBgn0013949	FBgn0013949	Elal
FBgn0039241	FBgn0039241	CG11089
FBgn0043799	FBgn0043799	CG31381
FBgn0039244	FBgn0039244	CG11069
FBgn0039246	FBgn0039246	CG10845
FBgn0051382	FBgn0051382	tRNA:Asp-GTC-1-12
FBgn0039249	FBgn0039249	CG11168
FBgn0039250	FBgn0039250	Mink
FBgn0039251	FBgn0039251	Trf4-2
FBgn0051416	FBgn0051416	tRNA:Asp-GTC-3-1
FBgn0040601	FBgn0040601	CG13643
FBgn0051121	FBgn0051121	CG31121
FBgn0039240	FBgn0039240	CG3744
FBgn0015625	FBgn0015625	CycB3
FBgn0039239	FBgn0039239	CG13641
FBgn0039237	FBgn0039237	CG13640
FBgn0051105	FBgn0051105	ppk22
FBgn0039235	FBgn0039235	CAH4
FBgn0051119	FBgn0051119	HDAC11
FBgn0051357	FBgn0051357	CG31357
FBgn0051118	FBgn0051118	RabX4
FBgn0045980	FBgn0045980	niki
FBgn0027617	FBgn0027617	CG5808
FBgn0027539	FBgn0027539	lili
FBgn0039227	FBgn0039227	polybromo
FBgn0039226	FBgn0039226	Ude
FBgn0039224	FBgn0039224	CG13634
FBgn0039223	FBgn0039223	CG5805
FBgn0015591	FBgn0015591	AstA
FBgn0039219	FBgn0039219	CG13630
FBgn0039252	FBgn0039252	CG11771
FBgn0039254	FBgn0039254	Nmnat
FBgn0039255	FBgn0285912	mah
FBgn0039257	FBgn0039257	tnc
FBgn0039258	FBgn0039258	beta4GalT7
FBgn0015240	FBgn0015240	Hr96
FBgn0051115	FBgn0051115	CG31115
FBgn0045866	FBgn0045866	bai
FBgn0039264	FBgn0039264	CG11786
FBgn0039265	FBgn0039265	CG11790
FBgn0039266	FBgn0039266	CG11791
FBgn0039270	FBgn0039270	PQBP1
FBgn0039271	FBgn0039271	CG11839
FBgn0039272	FBgn0039272	CG11836
FBgn0039274	FBgn0039274	CG11920
FBgn0004897	FBgn0004897	fd96Ca
FBgn0004898	FBgn0004898	fd96Cb
FBgn0046214	FBgn0046214	vig2
FBgn0039282	FBgn0039282	Bili
FBgn0039283	FBgn0039283	danr
FBgn0039280	FBgn0039280	Mocs2B
FBgn0051510	FBgn0051510	CG31510
FBgn0039277	FBgn0039277	Nepl16
FBgn0039273	FBgn0039273	shams
FBgn0011336	FBgn0011336	Stt3B
FBgn0039269	FBgn0039269	veli
FBgn0051111	FBgn0051111	CG31111
FBgn0051109	FBgn0051109	CG31109
FBgn0039261	FBgn0039261	Ythdf
FBgn0039260	FBgn0039260	Smg6
FBgn0039259	FBgn0039259	EMC6
FBgn0029157	FBgn0029157	ssh
FBgn0020626	FBgn0020626	Osbp
FBgn0051108	FBgn0051108	TTLL5
FBgn0039286	FBgn0039286	dan
FBgn0039288	FBgn0039288	CG13653
FBgn0039290	FBgn0039290	CG13654
FBgn0051106	FBgn0051106	CG31106
FBgn0051103	FBgn0051103	CG31103
FBgn0039293	FBgn0039293	Alg9
FBgn0039297	FBgn0039297	CG11852
FBgn0039298	FBgn0039298	to
FBgn0039299	FBgn0039299	CG11854
FBgn0039301	FBgn0039301	Nup37
FBgn0039302	FBgn0039302	Nup358
FBgn0039303	FBgn0039303	CG11857
FBgn0039305	FBgn0039305	CG11858
FBgn0039306	FBgn0039306	RIOK2
FBgn0039307	FBgn0039307	CR13656
FBgn0039310	FBgn0039310	CG11878
FBgn0051300	FBgn0051300	CG31300
FBgn0051104	FBgn0051104	CG31104
FBgn0039315	FBgn0039315	CG13658
FBgn0039316	FBgn0039316	CG11893
FBgn0039319	FBgn0039319	CG13659
FBgn0051370	FBgn0051370	CG31370
FBgn0051436	FBgn0051436	CG31436
FBgn0028647	FBgn0028647	CG11902
FBgn0027376	FBgn0027376	rha
FBgn0039335	FBgn0039335	Vps33B
FBgn0039337	FBgn0039337	MED28
FBgn0039338	FBgn0039338	XNP
FBgn0039336	FBgn0039336	CG4553
FBgn0039329	FBgn0039329	CG10669
FBgn0039328	FBgn0039328	CHKov2
FBgn0045761	FBgn0045761	CHKov1
FBgn0039326	FBgn0039326	CG10562
FBgn0039325	FBgn0039325	CG10560
FBgn0039324	FBgn0039324	CG10553
FBgn0039323	FBgn0039323	CG10559
FBgn0051087	FBgn0051087	CG31087
FBgn0051099	FBgn0051099	CG31099
FBgn0039321	FBgn0039321	CG10550
FBgn0051288	FBgn0051288	CG31288
FBgn0051097	FBgn0051097	CG31097
FBgn0051102	FBgn0051102	CG31102
FBgn0051098	FBgn0051098	CG31098
FBgn0039312	FBgn0039312	CG10514
FBgn0039311	FBgn0039311	CG10513
FBgn0027090	FBgn0027090	GlnRS
FBgn0039304	FBgn0039304	CG10425
FBgn0039300	FBgn0039300	RpS27
FBgn0000158	FBgn0000158	bam
FBgn0039296	FBgn0039296	Sil1
FBgn0039294	FBgn0039294	Cad96Cb
FBgn0039291	FBgn0039291	CG13663
FBgn0022800	FBgn0022800	Cad96Ca
FBgn0039339	FBgn0039339	CG5116
FBgn0039341	FBgn0039341	CG5112
FBgn0039342	FBgn0039342	CG5107
FBgn0039343	FBgn0039343	CG5111
FBgn0011666	FBgn0011666	msi
FBgn0039346	FBgn0039346	CG5079
FBgn0039347	FBgn0039347	CG5071
FBgn0039350	FBgn0039350	jigr1
FBgn0027508	FBgn0027508	Tnks
FBgn0039344	FBgn0039344	CG4582
FBgn0040212	FBgn0040212	Dhap-at
FBgn0039354	FBgn0039354	Lgr3
FBgn0039356	FBgn0039356	CG5039
FBgn0039358	FBgn0039358	CG5028
FBgn0039373	FBgn0039373	CG5024
FBgn0039374	FBgn0039374	CG17770
FBgn0011273	FBgn0011273	Acam
FBgn0039376	FBgn0039376	CG14354
FBgn0039379	FBgn0039379	CG5886
FBgn0039380	FBgn0039380	CG5890
FBgn0039381	FBgn0039381	SppL
FBgn0027865	FBgn0027865	Tsp96F
FBgn0040602	FBgn0040602	CG14545
FBgn0011668	FBgn0011668	Mst57Da
FBgn0011669	FBgn0011669	Mst57Db
FBgn0011670	FBgn0011670	Mst57Dc
FBgn0051093	FBgn0051093	CG31093
FBgn0051380	FBgn0051380	CG31380
FBgn0039371	FBgn0039371	CG4960
FBgn0039368	FBgn0039368	CG17196
FBgn0039367	FBgn0039367	CG17197
FBgn0066101	FBgn0066101	LpR1
FBgn0051092	FBgn0051092	LpR2
FBgn0039360	FBgn0039360	CLS
FBgn0039359	FBgn0039359	RpL27
FBgn0039357	FBgn0039357	CG4743
FBgn0039355	FBgn0039355	CG4730
