Chr	Start	End	Strand	Length
FBgn0032916	2L	21102743	21104321	+	1579
FBgn0040297	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21104568;21107781;21114492;21114594;21116260;21117871;21119753;21120060;21120276;21120479;21120755;21121110;21121582;21122251;21122913;21124135;21124287;21124440;21125317;21126159;21127850;21128740;21130005;21132034	21105008;21108227;21114534;21115092;21116482;21118134;21119952;21120180;21120414;21120696;21121047;21121543;21121769;21122389;21122927;21124191;21124373;21124614;21125439;21126374;21128062;21129082;21131984;21134255	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9080
FBgn0032919	2L;2L;2L	21143229;21143564;21144012	21143503;21143822;21145146	+;+;+	1669
FBgn0032921	2L;2L	21156288;21156392	21156328;21157685	+;+	1335
FBgn0032923	2L;2L;2L	21158847;21158904;21159272	21158900;21159197;21160903	+;+;+	1980
FBgn0032925	2L;2L	21163641;21164764	21164704;21166090	+;+	2391
FBgn0010100	2L;2L;2L;2L	21168570;21170191;21171895;21172460	21168804;21171828;21172398;21173185	+;+;+;+	3103
FBgn0051627	2L;2L	21173222;21173899	21173842;21174179	+;+	902
FBgn0032929	2L;2L	21179933;21181253	21181192;21182812	+;+	2820
FBgn0026255	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21206493;21206804;21207099;21207220;21207478;21207748;21208940;21209698;21210111;21210640;21210813;21211187	21206731;21206950;21207161;21207423;21207689;21208089;21209371;21210056;21210541;21210730;21211081;21211818	+;+;+;+;+;+;+;+;+;+;+;+	3421
FBgn0026577	2L;2L;2L;2L;2L;2L;2L;2L	21221312;21222436;21222678;21223192;21226630;21228459;21230091;21230609	21221786;21222617;21223127;21226422;21228340;21230037;21230194;21232059	+;+;+;+;+;+;+;+	9183
FBgn0021856	2L;2L;2L;2L	21261168;21261412;21261777;21262013	21261334;21261719;21261957;21262411	+;+;+;+	1055
FBgn0032938	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21262956;21263648;21273324;21273828;21274200;21275379;21275724;21277197;21279884;21281132;21281396	21263179;21263786;21273771;21274139;21274429;21275656;21275806;21278429;21280447;21281337;21282790	+;+;+;+;+;+;+;+;+;+;+	5112
FBgn0051626	2L;2L;2L	21232495;21233635;21236644	21233499;21233902;21236733	-;-;-	1363
FBgn0032935	2L;2L;2L;2L	21212322;21213223;21213917;21220260	21213166;21213768;21214647;21220572	-;-;-;-	2435
FBgn0032934	2L	21216004	21218544	-	2541
FBgn0003930	2L	21215036	21215178	-	143
FBgn0051988	2L;2L	21201493;21202434	21202272;21202802	-;-	1149
FBgn0051624	2L;2L;2L	21199045;21200011;21200208	21199960;21200076;21200375	-;-;-	1150
FBgn0011829	2L;2L;2L;2L;2L;2L;2L	21182446;21184082;21184278;21186074;21188148;21195063;21198653	21184021;21184222;21185989;21186239;21188920;21195496;21198762	-;-;-;-;-;-;-	4912
FBgn0000239	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21174182;21175033;21175280;21175741;21176007;21176509;21176671;21177205;21177571;21179330	21174975;21175224;21175681;21175933;21176376;21176605;21176971;21177509;21177678;21179683	-;-;-;-;-;-;-;-;-;-	3116
FBgn0032924	2L;2L;2L	21160636;21161198;21162233	21161139;21162177;21163083	-;-;-	2335
FBgn0032922	2L;2L;2L	21157433;21158304;21158535	21158243;21158480;21158611	-;-;-	1065
FBgn0024371	2L;2L;2L;2L;2L	21154293;21154646;21155107;21155572;21155744	21154579;21154985;21155365;21155681;21156749	-;-;-;-;-	2002
FBgn0023388	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21134439;21135276;21137131;21137757;21138113;21138712;21139676;21140009;21140217;21140569;21141178;21141625;21142239	21135029;21137106;21137688;21138030;21138361;21139602;21139942;21140156;21140490;21141008;21141552;21142012;21142347	-;-;-;-;-;-;-;-;-;-;-;-;-	6395
FBgn0032910	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21057706;21059341;21059547;21059727;21059927;21062261;21062455;21069355;21070771;21071303	21058475;21059457;21059668;21059852;21060037;21062385;21062608;21070281;21071243;21071502	-;-;-;-;-;-;-;-;-;-	3125
FBgn0023091	2L;2L;2L	21331756;21339068;21339349	21332026;21339284;21342155	+;+;+	3295
FBgn0032943	2L;2L;2L;2L	21344607;21355477;21356104;21356740	21344736;21355594;21356682;21358271	+;+;+;+	2359
FBgn0023090	2L;2L;2L;2L;2L	21361216;21361568;21362093;21363361;21363502	21361511;21362037;21362157;21363446;21367288	+;+;+;+;+	4704
FBgn0032945	2L;2L;2L	21371227;21374086;21376608	21371356;21376191;21377995	+;+;+	3624
FBgn0032946	2L;2L;2L;2L;2L;2L;2L;2L;2L	21380000;21382019;21384455;21385278;21388282;21388503;21388732;21388914;21390052	21380478;21382330;21384595;21385397;21388287;21388669;21388842;21389079;21393319	+;+;+;+;+;+;+;+;+	4770
FBgn0041245	2L;2L;2L	21367908;21368023;21368822	21367964;21368190;21369706	-;-;-	1110
FBgn0032940	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21286078;21286489;21287204;21287391;21288052;21289462;21289615;21297695;21301454;21303777;21304825;21308288	21286425;21286618;21287327;21287994;21289404;21289548;21289744;21297811;21301527;21304109;21304931;21310050	-;-;-;-;-;-;-;-;-;-;-;-	5170
FBgn0041336	2L	21282811	21284273	-	1463
FBgn0037501	3R;3R;3R;3R;3R	7406869;7407515;7407756;7408211;7408442	7407377;7407695;7407886;7408381;7409384	+;+;+;+;+	1935
FBgn0037502	3R;3R;3R;3R;3R;3R;3R;3R	7420765;7421201;7421433;7421635;7421918;7422155;7422512;7422708	7421146;7421370;7421576;7421844;7422094;7422453;7422657;7423057	+;+;+;+;+;+;+;+	1878
FBgn0037503	3R;3R	7439760;7440849	7439861;7441976	+;+	1230
FBgn0011999	3R	7451297	7451369	+	73
FBgn0003885	3R	7530753	7532732	+	1980
FBgn0015570	3R;3R;3R;3R	7541810;7542720;7543037;7543892	7541967;7542896;7543503;7545230	+;+;+;+	2141
FBgn0051146	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	7658247;7662252;7666779;7667196;7667410;7667664;7672952;7675295;7686434;7690692;7691515;7691713	7658668;7663203;7666976;7667348;7667598;7667835;7673083;7675462;7686623;7690843;7691630;7694874	+;+;+;+;+;+;+;+;+;+;+;+	6006
FBgn0015568	3R;3R;3R	7545733;7547770;7548892	7547155;7548236;7549124	-;-;-	2123
FBgn0015571	3R;3R;3R;3R;3R	7538972;7539563;7540824;7541192;7541578	7539501;7540462;7541132;7541330;7541631	-;-;-;-;-	1932
FBgn0015572	3R;3R;3R;3R	7536687;7538001;7538209;7538544	7537938;7538148;7538485;7538615	-;-;-;-	1749
FBgn0015831	3R;3R;3R	7528864;7529320;7530164	7529247;7529883;7530241	-;-;-	1026
FBgn0015574	3R;3R;3R	7524567;7525175;7528334	7525082;7526050;7528777	-;-;-	1836
FBgn0015575	3R;3R;3R;3R;3R;3R	7519563;7520280;7520512;7521134;7521370;7523597	7520224;7520449;7521075;7521284;7521682;7523753	-;-;-;-;-;-	2017
FBgn0017456	3R	7518820	7519456	-	637
FBgn0015576	3R;3R;3R;3R	7509343;7510525;7511911;7515162	7510278;7511412;7512223;7515670	-;-;-;-	2646
FBgn0037506	3R	7500951	7502376	-	1426
FBgn0015577	3R;3R;3R;3R	7493921;7495933;7497053;7504514	7495535;7496874;7497365;7505098	-;-;-;-	3455
FBgn0015569	3R;3R;3R;3R;3R;3R	7486583;7487515;7488302;7488689;7491341;7493729	7487455;7488226;7488614;7488751;7491603;7493845	-;-;-;-;-;-	2341
FBgn0012001	3R	7475903	7475975	-	73
FBgn0037504	3R;3R	7472458;7473261	7472847;7473781	-;-	911
FBgn0043853	3R	7472907	7473222	-	316
FBgn0012000	3R	7472060	7472132	-	73
FBgn0040670	3R;3R;3R	7093935;7094263;7094471	7094200;7094401;7094727	+;+;+	662
FBgn0037472	3R;3R;3R	7124548;7124875;7125419	7124806;7125062;7126503	+;+;+	1532
FBgn0051248	3R;3R;3R;3R	7129320;7129625;7130174;7130417	7129562;7129677;7130362;7130908	+;+;+;+	977
FBgn0051494	3R	7129864	7129935	+	72
FBgn0051493	3R;3R;3R	7131560;7131826;7132056	7131755;7132008;7132695	+;+;+	1019
FBgn0037475	3R;3R;3R;3R;3R	7136206;7136979;7137406;7137850;7141490	7136470;7137356;7137586;7137994;7141972	+;+;+;+;+	1452
FBgn0037478	3R;3R;3R	7144724;7144923;7151051	7144860;7145581;7151270	+;+;+	1016
FBgn0011020	3R;3R	7151367;7153304	7153252;7154219	+;+	2802
FBgn0002306	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	7162808;7164122;7164429;7174111;7178210;7178704;7179399;7180014;7181557;7182811;7183104	7163040;7164359;7164860;7175396;7178495;7179336;7179641;7181048;7182582;7183035;7183702	+;+;+;+;+;+;+;+;+;+;+	6236
FBgn0037483	3R;3R;3R;3R;3R;3R;3R	7200970;7201375;7201759;7202381;7202584;7202783;7202998	7201313;7201682;7202318;7202527;7202694;7202940;7203450	+;+;+;+;+;+;+	2081
FBgn0037487	3R;3R;3R;3R;3R;3R	7224414;7224925;7235657;7237226;7237330;7237658	7224464;7225252;7235704;7237272;7237596;7241138	+;+;+;+;+;+	4222
FBgn0037488	3R;3R;3R	7241760;7242628;7242726	7241903;7242674;7244006	+;+;+	1472
FBgn0037490	3R;3R	7247090;7247366	7247296;7248140	+;+	982
FBgn0037492	3R;3R	7249795;7250020	7249957;7251750	+;+	1894
FBgn0028400	3R;3R;3R;3R;3R	7266065;7266796;7267669;7269055;7269193	7266188;7266895;7268855;7269129;7270809	+;+;+;+;+	3103
FBgn0037493	3R;3R	7271592;7272300	7272194;7272509	+;+	813
FBgn0045843	3R;3R;3R	7285962;7286561;7287489	7286424;7287451;7287629	+;+;+	1495
FBgn0051496	3R;3R	7345069;7345518	7345261;7346354	+;+	1030
FBgn0051501	3R	7346730	7347836	+	1107
FBgn0004172	3R;3R	7365850;7366027	7365971;7366262	+;+	358
FBgn0004173	3R;3R	7365160;7365576	7365522;7365627	-;-	415
FBgn0004174	3R;3R	7364254;7364603	7364545;7364673	-;-	363
FBgn0004175	3R;3R	7363307;7363691	7363638;7363773	-;-	415
FBgn0037500	3R	7361368	7362123	-	756
FBgn0037498	3R;3R	7315724;7316607	7316502;7317207	-;-	1380
FBgn0001112	3R;3R;3R;3R	7252063;7257124;7257317;7265365	7254324;7257244;7257493;7265703	-;-;-;-	2899
FBgn0011282	3R;3R;3R;3R;3R	7250725;7250996;7251176;7251296;7251804	7250935;7251122;7251240;7251555;7251957	-;-;-;-;-	817
FBgn0037491	3R;3R;3R;3R	7248151;7248457;7248650;7249305	7248401;7248591;7249244;7249738	-;-;-;-	1415
FBgn0037489	3R;3R;3R;3R	7244232;7244528;7245210;7246875	7244471;7245151;7246822;7246969	-;-;-;-	2572
FBgn0037486	3R;3R;3R;3R;3R;3R;3R	7217679;7217985;7218581;7218991;7219182;7219358;7219531	7217926;7218397;7218915;7219121;7219293;7219475;7219705	-;-;-;-;-;-;-	1532
FBgn0037485	3R;3R;3R;3R;3R;3R	7214339;7215029;7215505;7216383;7216592;7216763	7214933;7215441;7215857;7216513;7216703;7217083	-;-;-;-;-;-	1925
FBgn0037482	3R;3R;3R	7184101;7185814;7186306	7185757;7186210;7186673	-;-;-	2422
FBgn0037481	3R	7154238	7155180	-	943
FBgn0037477	3R;3R	7143729;7144236	7144181;7144295	-;-	513
FBgn0051491	3R	7130947	7131018	-	72
FBgn0037473	3R;3R	7126271;7127573	7127472;7128027	-;-	1657
FBgn0014863	3R;3R;3R	7112850;7116652;7117651	7115838;7116716;7117732	-;-;-	3136
FBgn0000071	3R;3R;3R	6762593;6763404;6763833	6762996;6763516;6765261	+;+;+	1946
FBgn0000439	3R;3R;3R;3R;3R	6791836;6793497;6793663;6800979;6801625	6793111;6793597;6793840;6801358;6802428	+;+;+;+;+	2739
FBgn0026162	3R	6819894	6819966	+	73
FBgn0026164	3R	6821789	6821861	+	73
FBgn0000003	3R	6822498	6822796	+	299
FBgn0001077	3R;3R	6864324;6865289	6865141;6866244	+;+	1774
FBgn0024289	3R;3R;3R;3R;3R;3R	7052335;7052708;7053128;7053863;7054140;7054315	7052649;7052741;7053597;7054081;7054261;7054541	+;+;+;+;+;+	1387
FBgn0026563	3R;3R;3R	7054586;7055194;7058415	7055138;7057808;7058671	+;+;+	3425
FBgn0037463	3R;3R	7060767;7061040	7060984;7061919	+;+	1098
FBgn0037464	3R	7062175	7064370	+	2196
FBgn0037466	3R;3R;3R;3R;3R;3R;3R;3R	7067401;7067788;7068708;7069006;7070025;7070632;7070894;7071273	7067729;7068094;7068948;7069938;7070573;7070824;7071217;7071624	+;+;+;+;+;+;+;+	3228
FBgn0037468	3R;3R	7074859;7076748	7074973;7077981	+;+	1349
FBgn0037469	3R;3R;3R	7082182;7082474;7082837	7082388;7082765;7083251	+;+;+	914
FBgn0003884	3R;3R	7086599;7087234	7086744;7088839	+;+	1752
FBgn0037470	3R;3R;3R;3R;3R;3R;3R;3R;3R	7083225;7083690;7083948;7084183;7084375;7084534;7084925;7085414;7085882	7083586;7083891;7084124;7084318;7084481;7084767;7085357;7085563;7086083	-;-;-;-;-;-;-;-;-	2003
FBgn0010774	3R;3R;3R;3R	7077904;7078822;7079254;7079964	7078407;7079019;7079455;7080387	-;-;-;-	1328
FBgn0037467	3R;3R;3R;3R;3R	7071624;7071916;7072654;7073182;7074249	7071861;7072574;7073125;7074182;7074452	-;-;-;-;-	2574
FBgn0037465	3R;3R;3R;3R	7064186;7064878;7066142;7066924	7064769;7065720;7066297;7067136	-;-;-;-	1796
FBgn0003339	3R;3R;3R;3R	6823120;6841235;6847916;6849545	6825689;6842214;6848505;6849981	-;-;-;-	4577
FBgn0011904	3R	6822963	6823035	-	73
FBgn0026163	3R	6821068	6821140	-	73
FBgn0051485	3R	6819266	6819338	-	73
FBgn0000166	3R;3R;3R;3R	6755842;6757473;6758472;6759107	6756960;6758431;6758569;6759466	-;-;-;-	2536
FBgn0004053	3R;3R	6752864;6754062	6753997;6754194	-;-	1267
FBgn0004054	3R	6743135	6744136	-	1002
FBgn0037448	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	6478311;6478760;6480862;6480997;6482790;6484690;6486984;6489383;6489627;6490158;6490523;6491041;6492610;6493547	6478685;6479453;6480927;6481251;6483178;6484773;6487323;6489552;6489715;6490381;6490973;6491981;6493374;6495025	+;+;+;+;+;+;+;+;+;+;+;+;+;+	6322
FBgn0037449	3R	6527508	6528674	+	1167
FBgn0046873	3R;3R	6549036;6549206	6549144;6549983	+;+	887
FBgn0051482	3R;3R;3R;3R	6601242;6601410;6601596;6601966	6601351;6601538;6601912;6602201	+;+;+;+	792
FBgn0037462	3R;3R;3R	6630151;6630654;6630820	6630598;6630761;6631184	+;+;+	921
FBgn0051286	3R;3R;3R;3R;3R;3R	6641232;6641428;6641622;6641907;6642084;6642414	6641372;6641565;6641842;6642032;6642358;6643346	+;+;+;+;+;+	1834
FBgn0010355	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	6646889;6647294;6647665;6647983;6648260;6648945;6649381;6650153;6650499;6650791;6652750;6652960;6654023;6654470;6654986;6655209	6647171;6647601;6647928;6648194;6648885;6649325;6650095;6650425;6650720;6652678;6652892;6653290;6654121;6654664;6655081;6656048	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6876
FBgn0004777	3R;3R	6686728;6687001	6686785;6688039	+;+	1097
FBgn0004780	3R;3R	6692732;6692871	6692809;6693527	+;+	735
FBgn0004783	3R;3R	6704084;6704214	6704158;6704903	+;+	765
FBgn0004782	3R;3R	6701968;6702808	6702731;6702877	-;-	834
FBgn0004781	3R;3R	6695148;6696171	6696106;6696271	-;-	1060
FBgn0004779	3R;3R	6690887;6691692	6691573;6691758	-;-	754
FBgn0004778	3R;3R	6689602;6690175	6690116;6690239	-;-	580
FBgn0024912	3R	6658806	6660100	-	1295
FBgn0026566	3R;3R	6656030;6657148	6656893;6657442	-;-	1159
FBgn0026565	3R;3R;3R	6642262;6643864;6644216	6643252;6644109;6644434	-;-;-	1456
FBgn0037461	3R;3R;3R	6628204;6628665;6628831	6628614;6628775;6629321	-;-;-	1013
FBgn0037460	3R;3R;3R	6626930;6627233;6627394	6627144;6627340;6627900	-;-;-	830
FBgn0037456	3R	6596625	6598022	-	1398
FBgn0053202	3R;3R;3R;3R;3R;3R;3R;3R	6529169;6531946;6532636;6538307;6542571;6545675;6566135;6592884	6531783;6532051;6532844;6538467;6542641;6545973;6566877;6593330	-;-;-;-;-;-;-;-	4651
FBgn0037454	3R;3R;3R;3R	6558618;6559098;6559307;6560150	6559030;6559247;6559904;6560351	-;-;-;-	1363
FBgn0011919	3R	6496039	6496111	-	73
FBgn0037429	3R;3R;3R;3R	6335362;6335922;6336280;6336800	6335643;6336198;6336461;6337196	+;+;+;+	1138
FBgn0037430	3R;3R	6340095;6340657	6340590;6341424	+;+	1264
FBgn0037431	3R;3R	6341968;6342336	6342135;6342873	+;+	706
FBgn0037432	3R;3R	6343002;6343204	6343150;6343799	+;+	745
FBgn0037433	3R;3R	6344029;6344531	6344249;6345087	+;+	778
FBgn0037435	3R	6346111	6347519	+	1409
FBgn0037436	3R;3R	6349243;6350301	6349867;6350512	+;+	837
FBgn0037439	3R	6368965	6371115	+	2151
FBgn0010282	3R;3R;3R;3R	6380467;6380686;6381682;6382328	6380619;6381605;6382269;6382604	+;+;+;+	1938
FBgn0037442	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	6382914;6384335;6384981;6385359;6385591;6385748;6386003;6386336;6386754;6386970	6383521;6384722;6385258;6385531;6385682;6385941;6386198;6386689;6386901;6388304	+;+;+;+;+;+;+;+;+;+	3766
FBgn0037446	3R;3R;3R;3R	6457088;6457493;6458167;6458403	6457430;6458109;6458301;6458822	+;+;+;+	1515
FBgn0037447	3R	6468437	6471016	+	2580
FBgn0037445	3R;3R;3R;3R;3R	6449944;6454304;6454952;6455258;6456598	6454248;6454739;6455194;6456507;6456676	-;-;-;-;-	6313
FBgn0037443	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	6389162;6389758;6390011;6390202;6390389;6390588;6391161;6391305;6392880;6393732;6405378	6389685;6389933;6390124;6390306;6390509;6391093;6391225;6392742;6392959;6393911;6405895	-;-;-;-;-;-;-;-;-;-;-	3827
FBgn0037440	3R;3R;3R;3R;3R;3R;3R	6371026;6371858;6372170;6373302;6373460;6373814;6375883	6371798;6372106;6373236;6373380;6373574;6374025;6376044	-;-;-;-;-;-;-	2657
FBgn0037512	3R;3R	7722417;7723703	7723223;7724715	+;+	1820
FBgn0037514	3R;3R;3R	7758122;7758627;7759479	7758574;7758749;7759677	+;+;+	775
FBgn0037515	3R;3R;3R;3R;3R;3R	7759786;7760737;7762007;7762457;7762635;7763035	7759923;7761274;7762393;7762565;7762921;7763947	+;+;+;+;+;+	2372
FBgn0037517	3R;3R;3R	7790633;7791671;7792879	7790841;7792720;7793483	+;+;+	1864
FBgn0037518	3R;3R;3R;3R	7794069;7794870;7795593;7796248	7794320;7795219;7796148;7796599	+;+;+;+	1510
FBgn0051472	3R;3R	7810532;7810857	7810789;7811912	+;+	1314
FBgn0051473	3R;3R	7811814;7812816	7812600;7813009	+;+	981
FBgn0037526	3R;3R;3R;3R;3R	7887045;7887208;7887340;7888563;7889096	7887138;7887277;7888501;7888929;7890150	+;+;+;+;+	2748
FBgn0024909	3R;3R;3R	7907333;7907562;7907884	7907497;7907819;7909721	+;+;+	2261
FBgn0014931	3R;3R;3R	7913851;7914792;7915913	7914637;7915369;7916550	+;+;+	2003
FBgn0002542	3R;3R;3R;3R;3R	7920431;7920667;7922137;7922547;7923468	7920598;7921835;7922461;7923403;7924491	+;+;+;+;+	3543
FBgn0000504	3R;3R;3R;3R;3R;3R;3R	7924323;7930171;7931168;7935768;7959752;7962230;7966463	7925360;7930687;7935653;7935905;7961122;7962786;7967408	-;-;-;-;-;-;-	9053
FBgn0037531	3R;3R;3R;3R;3R	7916599;7917856;7919404;7919862;7920178	7917794;7919277;7919801;7920122;7920299	-;-;-;-;-	3399
FBgn0014930	3R;3R	7912017;7912929	7912864;7913290	-;-	1210
FBgn0004901	3R;3R	7909598;7911694	7911616;7911779	-;-	2105
FBgn0037530	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	7903030;7903656;7903954;7904192;7904404;7904664;7904802;7905051;7905691;7905785;7906181;7906418;7907128	7903593;7903889;7904124;7904344;7904605;7904741;7904996;7905385;7905711;7906097;7906327;7907060;7907363	-;-;-;-;-;-;-;-;-;-;-;-;-	3292
FBgn0037529	3R;3R;3R;3R;3R;3R;3R	7889277;7889509;7901384;7901810;7902007;7902239;7902537	7889438;7889671;7901744;7901895;7902180;7902454;7902667	-;-;-;-;-;-;-	1293
FBgn0037521	3R;3R;3R;3R;3R	7804665;7805995;7806912;7807974;7809039	7805638;7806770;7807767;7808326;7810014	-;-;-;-;-	3935
FBgn0037520	3R;3R;3R	7802831;7803281;7804159	7803220;7804048;7804432	-;-;-	1432
FBgn0037519	3R;3R;3R;3R	7799264;7800689;7801528;7801918	7799985;7801337;7801853;7802793	-;-;-;-	2573
FBgn0042101	3R;3R;3R	7797078;7797371;7798636	7797308;7798339;7798771	-;-;-	1336
FBgn0042103	3R;3R;3R;3R;3R	7788282;7788714;7789459;7789731;7789996	7788622;7789308;7789667;7789880;7790187	-;-;-;-;-	1487
FBgn0042105	3R;3R;3R;3R;3R	7786170;7786601;7787244;7787518;7787729	7786541;7787183;7787452;7787667;7787923	-;-;-;-;-	1509
FBgn0042102	3R;3R;3R;3R;3R	7783843;7784264;7784905;7785174;7785839	7784198;7784837;7785116;7785317;7786119	-;-;-;-;-	1567
FBgn0042104	3R;3R;3R;3R;3R	7780884;7781556;7782396;7782686;7783287	7781174;7782150;7782628;7782814;7783446	-;-;-;-;-	1408
FBgn0037516	3R;3R	7770860;7771211	7771151;7771756	-;-	838
FBgn0037513	3R;3R;3R;3R	7747913;7748254;7748950;7749883	7748193;7748873;7749212;7750079	-;-;-;-	1361
FBgn0010401	3R;3R	7978959;7979117	7979064;7979614	+;+	604
FBgn0037535	3R;3R;3R	7999832;8000586;8000724	8000503;8000663;8001064	+;+;+	1091
FBgn0037536	3R;3R;3R;3R;3R;3R;3R;3R;3R	8001562;8001895;8002554;8003220;8004238;8004714;8005010;8005254;8005757	8001795;8002446;8003159;8004178;8004647;8004863;8005018;8005719;8006033	+;+;+;+;+;+;+;+;+	3663
FBgn0037538	3R;3R;3R	8009400;8009703;8010178	8009629;8010119;8011018	+;+;+	1488
FBgn0037540	3R;3R;3R	8013791;8014411;8015027	8014299;8014966;8016610	+;+;+	2649
FBgn0037543	3R;3R;3R;3R;3R	8030411;8030827;8031046;8031146;8031782	8030549;8030982;8031083;8031711;8032145	+;+;+;+;+	1263
FBgn0010812	3R;3R;3R	8033301;8033588;8034940	8033530;8034880;8037403	+;+;+	3987
FBgn0037546	3R;3R;3R;3R	8059284;8082191;8082709;8083220	8059527;8082496;8083151;8087049	+;+;+;+	4823
FBgn0037547	3R;3R;3R;3R;3R;3R	8087252;8087786;8088078;8088644;8088821;8089149	8087712;8088011;8088589;8088769;8089093;8089526	+;+;+;+;+;+	1976
FBgn0037548	3R;3R;3R;3R;3R	8094124;8100024;8100533;8101518;8104846	8094328;8100467;8101228;8101813;8105083	+;+;+;+;+	1879
FBgn0037551	3R;3R;3R;3R	8126605;8128041;8128262;8128490	8126842;8128195;8128423;8129835	+;+;+;+	1901
FBgn0037552	3R	8217957	8219734	+	1778
FBgn0037553	3R	8220146	8222188	+	2043
FBgn0037554	3R;3R;3R;3R	8233507;8233856;8234251;8235287	8233646;8233924;8235222;8237389	+;+;+;+	3284
FBgn0040528	3R;3R;3R;3R;3R;3R;3R	8248438;8248712;8248924;8249140;8249855;8249955;8250178	8248654;8248869;8249077;8249794;8249899;8250120;8250324	+;+;+;+;+;+;+	1542
FBgn0037556	3R;3R;3R;3R	8240747;8242680;8242918;8243222	8242576;8242846;8243164;8243792	-;-;-;-	2815
FBgn0001138	3R;3R;3R;3R;3R;3R;3R;3R;3R	8147368;8149270;8149547;8153258;8160963;8166732;8167831;8179355;8181199	8148964;8149457;8149733;8153401;8161108;8167530;8168117;8179850;8181444	-;-;-;-;-;-;-;-;-	4090
FBgn0011959	3R	8140970	8141042	-	73
FBgn0011960	3R	8140727	8140799	-	73
FBgn0011961	3R	8140476	8140548	-	73
FBgn0011962	3R	8140223	8140295	-	73
FBgn0011963	3R	8139951	8140023	-	73
FBgn0051583	3R	8139533	8139606	-	74
FBgn0037544	3R	8031130	8033009	-	1880
FBgn0037541	3R;3R;3R;3R;3R;3R;3R;3R;3R	8016210;8017440;8018208;8022457;8022618;8022953;8024653;8026777;8030645	8017005;8017460;8021949;8022489;8022891;8024593;8025069;8027174;8030790	-;-;-;-;-;-;-;-;-	7468
FBgn0001255	3R	8028453	8029546	-	1094
FBgn0037539	3R;3R;3R	8010907;8011295;8012131	8011234;8011717;8013201	-;-;-	1822
FBgn0040524	3R;3R;3R;3R	8008249;8008552;8008776;8008847	8008500;8008661;8008792;8009297	-;-;-;-	830
FBgn0037537	3R;3R;3R;3R;3R	8005924;8006217;8006837;8007332;8007896	8006148;8006776;8006964;8007512;8008110	-;-;-;-;-	1309
FBgn0037534	3R;3R;3R;3R;3R;3R	7981817;7982685;7983831;7983985;7984791;7995420	7982568;7983146;7983911;7984092;7984928;7995852	-;-;-;-;-;-	1974
FBgn0037533	3R;3R;3R;3R;3R;3R;3R;3R	7974409;7975054;7975137;7976890;7977562;7977865;7978018;7978346	7974865;7975059;7976413;7977068;7977769;7977962;7978080;7978428	-;-;-;-;-;-;-;-	2371
FBgn0014861	3R;3R	8264970;8267297	8267239;8267924	+;+	2898
FBgn0010433	3R	8278052	8279274	+	1223
FBgn0037562	3R;3R	8287876;8288298	8288240;8288613	+;+	681
FBgn0051464	3R;3R	8291240;8291354	8291299;8292034	+;+	741
FBgn0051463	3R	8292335	8293609	+	1275
FBgn0037566	3R;3R;3R	8301440;8301757;8302124	8301702;8302066;8302770	+;+;+	1220
FBgn0037572	3R	8312188	8313097	+	910
FBgn0037573	3R;3R;3R;3R	8313208;8313531;8313953;8314206	8313470;8313897;8314144;8314864	+;+;+;+	1481
FBgn0062412	3R;3R	8317612;8318438	8317796;8319205	+;+	953
FBgn0037576	3R;3R;3R	8321747;8322568;8322980	8322507;8322925;8323054	+;+;+	1194
FBgn0037577	3R;3R;3R	8324316;8324486;8324627	8324433;8324573;8325036	+;+;+	616
FBgn0004908	3R;3R;3R	8341100;8341303;8341716	8341243;8341657;8341872	+;+;+	656
FBgn0037579	3R;3R	8343669;8343855	8343799;8344310	+;+	587
FBgn0037580	3R;3R;3R;3R	8344400;8344809;8345093;8345459	8344483;8345023;8345399;8347465	+;+;+;+	2613
FBgn0037581	3R;3R;3R	8347579;8347719;8348679	8347635;8348624;8349296	+;+;+	1581
FBgn0020249	3R;3R;3R;3R;3R;3R;3R;3R	8356978;8357331;8358328;8358471;8358649;8359009;8359207;8359530	8357095;8357456;8358404;8358590;8358954;8359150;8359465;8359964	+;+;+;+;+;+;+;+	1583
FBgn0037584	3R	8362826	8363894	+	1069
FBgn0037589	3R;3R;3R	8419822;8420260;8420565	8420202;8420388;8420597	-;-;-	543
